ci_value,strategy,task_id,region,server_age,duration_s,total_carbon_g,timestamp
175.0,balanced,213,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803131
175.0,balanced,214,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803132
175.0,balanced,215,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803132
175.0,balanced,216,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803133
175.0,balanced,217,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803134
175.0,balanced,218,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803135
175.0,balanced,219,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803135
175.0,balanced,220,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803136
175.0,balanced,221,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803137
175.0,balanced,222,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803138
175.0,balanced,223,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803139
175.0,balanced,224,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803139
175.0,balanced,225,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803140
175.0,balanced,226,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803141
175.0,balanced,227,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803142
175.0,balanced,228,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803142
175.0,balanced,229,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803143
175.0,balanced,230,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803144
175.0,balanced,231,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803145
175.0,balanced,232,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803145
175.0,balanced,233,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803146
175.0,balanced,234,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803147
175.0,balanced,235,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803148
175.0,balanced,236,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803149
175.0,balanced,237,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803149
175.0,balanced,238,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803150
175.0,balanced,239,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803151
175.0,balanced,240,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803152
175.0,balanced,241,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803152
175.0,balanced,242,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803153
175.0,balanced,243,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803154
175.0,balanced,244,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803155
175.0,balanced,245,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803156
175.0,balanced,246,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803156
175.0,balanced,247,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803157
175.0,balanced,248,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803158
175.0,balanced,249,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803160
175.0,balanced,250,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803161
175.0,balanced,251,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803162
175.0,balanced,252,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803162
175.0,balanced,253,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803163
175.0,balanced,254,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803165
175.0,balanced,255,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803166
175.0,balanced,256,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803166
175.0,balanced,257,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803167
175.0,balanced,258,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803168
175.0,balanced,259,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803169
175.0,balanced,260,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803170
175.0,balanced,261,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803171
175.0,balanced,262,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803171
175.0,balanced,263,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803172
175.0,balanced,264,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803173
175.0,balanced,265,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803174
175.0,balanced,266,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803175
175.0,balanced,267,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803175
175.0,balanced,268,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803176
175.0,balanced,269,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803180
175.0,balanced,270,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803181
175.0,balanced,271,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803182
175.0,balanced,272,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803183
175.0,balanced,273,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803184
175.0,balanced,274,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803184
175.0,balanced,275,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803185
175.0,balanced,276,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803186
175.0,balanced,277,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803187
175.0,balanced,278,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803187
175.0,balanced,279,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803188
175.0,balanced,280,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803189
175.0,balanced,281,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803190
175.0,balanced,282,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803191
175.0,balanced,283,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803191
175.0,balanced,284,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803192
175.0,balanced,285,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803193
175.0,balanced,286,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803194
175.0,balanced,287,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803195
175.0,balanced,288,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803195
175.0,balanced,289,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803196
175.0,balanced,290,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803197
175.0,balanced,291,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803198
175.0,balanced,292,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803198
175.0,balanced,293,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803199
175.0,balanced,294,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803200
175.0,balanced,295,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803201
175.0,balanced,296,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803202
175.0,balanced,297,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803202
175.0,balanced,298,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803203
175.0,balanced,299,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803204
200.0,operational_only,0,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803234
200.0,operational_only,1,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803235
200.0,operational_only,2,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803236
200.0,operational_only,3,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803237
200.0,operational_only,4,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803238
200.0,operational_only,5,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803239
200.0,operational_only,6,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803240
200.0,operational_only,7,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803240
200.0,operational_only,8,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803241
200.0,operational_only,9,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803242
200.0,operational_only,10,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803243
200.0,operational_only,11,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803244
200.0,operational_only,12,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803244
200.0,operational_only,13,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803245
200.0,operational_only,14,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803246
200.0,operational_only,15,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803247
200.0,operational_only,16,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803248
200.0,operational_only,17,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803248
200.0,operational_only,18,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803249
200.0,operational_only,19,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803250
200.0,operational_only,20,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803251
200.0,operational_only,21,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803252
200.0,operational_only,22,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803252
200.0,operational_only,23,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803253
200.0,operational_only,24,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803254
200.0,operational_only,25,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803255
200.0,operational_only,26,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803255
200.0,operational_only,27,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803256
200.0,operational_only,28,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803257
200.0,operational_only,29,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803258
200.0,operational_only,30,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803259
